policy_id,clock,side,state,origin_lag,maturity_height,confirmation_height,entry_time,exit_time,fee_pressure,cadence_compression,fee_rank,cadence_rank
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,728149,728155,2022-03-20T07:15:00Z,2022-03-23T07:15:00Z,16.338124035173983,0.17116403409807762,0.76934523809523814,0.90270146520146521
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,728605,728611,2022-03-23T07:45:00Z,2022-03-26T07:45:00Z,15.818288229348353,-0.09191046793342196,0.53308150183150182,0.099778693528693535
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,729066,729072,2022-03-26T09:15:00Z,2022-03-29T09:15:00Z,15.578045280814578,0.19231128842332315,0.4287240537240537,0.9292010073260073
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,729741,729747,2022-03-31T00:10:00Z,2022-04-03T00:10:00Z,12.798194345021855,-0.1014428516237211,0.026556776556776556,0.087473290598290593
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,730177,730183,2022-04-03T03:25:00Z,2022-04-06T03:25:00Z,16.589509784974332,-0.10432998484330246,0.87259615384615385,0.083772130647130641
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,730620,730626,2022-04-06T04:30:00Z,2022-04-09T04:30:00Z,14.582843636213097,-0.095900914377203147,0.15480006105006106,0.095486111111111105
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,731084,731090,2022-04-09T11:10:00Z,2022-04-12T11:10:00Z,16.68673794853029,-0.11194379822198418,0.91044719169719168,0.073489010989010992
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,731719,731725,2022-04-13T21:15:00Z,2022-04-16T21:15:00Z,17.051640785768843,-0.10199987502557861,0.97752594627594624,0.088408119658119663
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,732169,732175,2022-04-16T23:45:00Z,2022-04-19T23:45:00Z,16.174330605207349,-0.10084031492607154,0.71813949938949939,0.090506715506715504
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,732633,732639,2022-04-20T06:40:00Z,2022-04-23T06:40:00Z,15.083135396864652,-0.11847908965088302,0.28071581196581197,0.067498473748473745
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,733150,733156,2022-04-23T11:30:00Z,2022-04-26T11:30:00Z,16.559092625500998,0.17930610783349729,0.88457722832722829,0.92923916361416359
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,733619,733625,2022-04-26T11:50:00Z,2022-04-29T11:50:00Z,16.320550662671902,0.1752267843180878,0.79326923076923073,0.92414529914529919
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,734201,734207,2022-04-30T08:55:00Z,2022-05-03T08:55:00Z,15.383578200602695,-0.09967940868585784,0.37988400488400487,0.097622863247863248
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,734835,734841,2022-05-04T09:25:00Z,2022-05-07T09:25:00Z,15.849992912900857,0.17882766753969878,0.58150183150183155,0.92412622100122099
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,735352,735358,2022-05-07T20:25:00Z,2022-05-10T20:25:00Z,12.732929086368692,0.18070286757849827,0.028655372405372404,0.92630112942612941
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,736121,736127,2022-05-13T03:15:00Z,2022-05-16T03:15:00Z,16.824642306239877,-0.10578542537090672,0.95146520146520142,0.083333333333333329
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,736537,736543,2022-05-16T03:30:00Z,2022-05-19T03:30:00Z,16.792059655322632,-0.10924296917204837,0.93891178266178266,0.08205509768009768
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,737004,737010,2022-05-19T08:45:00Z,2022-05-22T08:45:00Z,14.833803572940214,-0.11831622681804219,0.21581196581196582,0.068872100122100127
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,737408,737414,2022-05-22T09:35:00Z,2022-05-25T09:35:00Z,15.973825084997623,0.16861590973784271,0.61618589743589747,0.91304181929181927
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,738098,738104,2022-05-27T11:25:00Z,2022-05-30T11:25:00Z,16.749843803676871,-0.12047570346667331,0.92197039072039078,0.073489010989010992
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,738919,738925,2022-06-02T02:00:00Z,2022-06-05T02:00:00Z,14.521174575062487,-0.11250989781103801,0.15315934065934067,0.082799145299145296
