document_class,meeting_date,release_date,last_update_date,encoding,source_eligible,official_url,index_url
fomc_minutes,2019-03-20,2019-04-10,2019-04-10,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190320.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_statement,2019-05-01,2019-05-01,2019-05-01,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190501a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_minutes,2019-05-01,2019-05-22,2019-05-22,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190501.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_statement,2019-06-19,2019-06-19,2019-06-19,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190619a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_minutes,2019-06-19,2019-07-10,2019-07-10,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190619.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_statement,2019-07-31,2019-07-31,2019-07-31,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190731a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_minutes,2019-07-31,2019-08-21,2019-08-21,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190731.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_statement,2019-09-18,2019-09-18,2019-09-18,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190918a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_minutes,2019-09-18,2019-10-09,2019-10-09,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190918.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_statement,2019-10-11,2019-10-11,2019-10-15,utf-8,false,https://www.federalreserve.gov/newsevents/pressreleases/monetary20191011a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_statement,2019-10-30,2019-10-30,2019-10-30,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20191030a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_minutes,2019-10-30,2019-11-20,2019-11-20,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20191030.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_statement,2019-12-11,2019-12-11,2019-12-11,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20191211a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_minutes,2019-12-11,2020-01-03,2020-01-03,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20191211.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_statement,2020-01-29,2020-01-29,2020-01-29,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200129a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
fomc_minutes,2020-01-29,2020-02-19,2020-02-19,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20200129.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
fomc_statement,2020-03-03,2020-03-03,2020-03-03,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200303a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
